"ID_COMCOM","Nom_COMCOM","ID","nom_ID","ID_TTP","NOM_TTP","X","Y","Nature","Type_eau","Permeabilité","Prof","K_aut_jr","K_autres","V_prel_2019","K_hydro_moy_1","K_hydro_moy_2","K_hydro_moy_3","K_hydro_moy_4","K_hydro_moy_5","K_hydro_moy_6","K_hydro_moy_7","K_hydro_moy_8","K_hydro_moy_9","K_hydro_moy_10","K_hydro_moy_11","K_hydro_moy_12","K_hydro_sec_1","K_hydro_sec_2","K_hydro_sec_3","K_hydro_sec_4","K_hydro_sec_5","K_hydro_sec_6","K_hydro_sec_7","K_hydro_sec_8","K_hydro_sec_9","K_hydro_sec_10","K_hydro_sec_11","K_hydro_sec_12","K_hydro_Etendue_1","K_hydro_Etendue_2","K_hydro_Etendue_3","K_hydro_Etendue_4","K_hydro_Etendue_5","K_hydro_Etendue_6","K_hydro_Etendue_7","K_hydro_Etendue_8","K_hydro_Etendue_9","K_hydro_Etendue_10","K_hydro_Etendue_11","K_hydro_Etendue_12","Type"
"2","DZCO","29000191","KERYANNES","T2011","Station de Nankou",152974,6798041,"Puits",1,7e-05,"5",500,NA,NA,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29000249","KERSTRAT","T2031","Station de Kerstrat",155999,6795149,"Captage",1,7e-05,"10",600,NA,100191,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"2","DZCO","29002187","KERSTRAT SUD60","T2031","Station de Kerstrat",155372,6795543,"Forage",1,7e-05,"100",400,"0",0,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000267","SAINT RENAN","T3031","Station de Kerlaeron",150930,6791072,"Captage",1,7e-05,"5",1500,NA,353920,1,1,1,1,1,1,0.8,0.6,0.5,0.7,1,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29002204","FORAGE KERLOSQUET","T3031","Station de Kerlaeron",151061,6791271,"Forage",1,7e-05,"125",240,NA,36313,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000215","KERGAMET","T3021","Station de Kergamet",152839,6791127,"Puits",1,7e-05,"5",700,NA,62144,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29001501","KERGAMET FORAGE 1","T3021","Station de Kergamet",152839,6791107,"Forage",1,7e-05,"28",360,NA,73969,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29001502","KERGAMET FORAGE 2","T3021","Station de Kergamet",152839,6791107,"Forage",1,7e-05,"53",100,NA,8053,1,1,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
"3","CCHPB","29000250","SAINT AVE","T3011","Station se Saint-avé",157755,6791093,"Puits",1,7e-05,"5",720,NA,235490,1,1.00065975852239,0.949766990540693,0.821113298133596,0.727953279658744,0.656108896533901,0.529383673419642,0.451356537957291,0.387016868961987,0.413303459483503,0.800328519636184,1,0.8,0.8,0.77806881718414,0.604917777847222,0.457052419321237,0.368730555486111,0.313350806458333,0.283477150571237,0.251720833326389,0.239930107517473,0.260418055555555,0.554360215141128,0.68,0.68,0.661358494606519,0.514180111170138,0.388494556423051,0.313420972163194,0.266348185489583,0.240955577985551,0.213962708327431,0.203940591389852,0.221355347222222,0.471206182869959,"OUV"
"3","CCHPB","29001503","SAINT AVE FOR","T3011","Station se Saint-avé",157564,6790979,"Forage",1,7e-05,"130",240,NA,48202,1,1.00065975852239,1,1,1,1,1,1,1,1,1,1,0.83591875,0.8361425,0.84296375,0.84064625,0.82707625,0.79065,0.87370125,0.8545725,0.86617875,0.85102,0.86369625,0.77897625,0.7105309375,0.710721125,0.7165191875,0.7145493125,0.7030148125,0.6720525,0.7426460625,0.726386625,0.7362519375,0.723367,0.7341418125,0.6621298125,"OUV"
