"ID_lien","ID_depart_txt","ID_depart","Type_depart","Nom_depart","ID_URD_depart","ID_CC_depart","X_depart","Y_depart","ID_arrivee_txt","ID_arrivee","Type_arrivee","Nom_arrivee","ID_URD_arrivee","ID_CC_arrivee","X_arrivee","Y_arrivee","Long_km","Diam_mm","K_max","distance","Diametre"
"29000194_T1041","29000194","29000194","OUV","PEN AR VERN (Sud)","104","1",169829,6822468,"T1041","T1041","TTP","Le Faou","104","1",175623.3558,6818089.1598,NA,NA,NA,35.6391508701004,100
"290001971_T4041","290001971","290001971","OUV","Forage Kervrancel-Rosnabat","404","4",176912.64,6779054.29,"T4041","T4041","TTP",NA,"404","4",177121.1898,6779046.2598,NA,NA,NA,21.3528838720626,100
"29000197_T4041","29000197","29000197","OUV","Penalen","404","4",176892.64,6779024.29,"T4041","T4041","TTP",NA,"404","4",177121.1898,6779046.2598,NA,NA,NA,26.9976556095056,250
"29000198_T4041","29000198","29000198","OUV","Creach Queta","404","4",174220.39,6782919.41999999,"T4041","T4041","TTP",NA,"404","4",177121.1898,6779046.2598,NA,NA,NA,22.8407343683486,300
"29000202_T5161","29000202","29000202","OUV","TOULHARN","516","5",181943,6807902,"T5161","T5161","TTP","Gouézec","516","5",182109.1297,6808061.7798,NA,NA,NA,37.8286819931741,100
"29000203_T5162","29000203","29000203","OUV","MOULIN NEUF","516","5",179041,6807356,"T5162","T5162","TTP","Gouézec","516","5",179035.7167,6807355.6059,NA,NA,NA,35.1089507686711,100
"29000215_T3021","29000215","29000215","OUV","KERGAMET","302","3",152839,6791127,"T3021","T3021","TTP","Kergamet","302","3",152835.5202,6791073.9522,NA,NA,NA,10.9989203519462,100
"29000216_T6111","29000216","29000216","OUV","LANVERN-CAPTAGE","611","6",176626,6800310,"T6111","T6111","TTP",NA,"611","6",176737.236,6799958.7184,NA,NA,NA,26.5324727824372,100
"29000217_T6111","29000217","29000217","OUV","LANVERN-FORAGE","611","6",176641,6800290,"T6111","T6111","TTP",NA,"611","6",176737.236,6799958.7184,NA,NA,NA,24.5324784519716,100
"29000218_T6111","29000218","29000218","OUV","TY FAO","611","6",176783,6799939,"T6111","T6111","TTP",NA,"611","6",176737.236,6799958.7184,NA,NA,NA,23.6783092118512,100
"29000219_T6121","29000219","29000219","OUV","KERGREN","612","6",181832,6797810,"T6121","T6121","TTP","Landulal","612","6",181764.5918,6797218.0663,NA,NA,NA,23.2981153100167,100
"29000220_T6121","29000220","29000220","OUV","KERGARADEC","612","6",181345,6796874,"T6121","T6121","TTP","Landulal","612","6",181764.5918,6797218.0663,NA,NA,NA,19.1023101868862,100
"29000221_T6131","29000221","29000221","OUV","PARC YAN","613","6",185764,6798338,"T6131","T6131","TTP","Langolen","613","6",185368.4632,6798367.4835,NA,NA,NA,22.8163124918896,100
"29000222_T6131","29000222","29000222","OUV","KERZOUALEN","613","6",185634,6798329,"T6131","T6131","TTP","Langolen","613","6",185368.4632,6798367.4835,NA,NA,NA,18.3991227445807,100
"29000228_T6021","29000228","29000228","OUV","KERVAVARN","602","6",165353,6802501,"T6021","T6021","TTP","Locronan","602","6",165365.6502,6802509.4278,NA,NA,NA,21.5211143236153,100
"29000232_T5151","29000232","29000232","OUV","RUNIGOU VIHAN","515","5",178416,6807880,"T5151","T5151","TTP","Lothey","515","5",178418.4144,6807880.2608,NA,NA,NA,23.2037475024468,100
"29000241_T2041","29000241","29000241","OUV","LESAFF CAP","204","2",150141,6799872,"T2041","T2041","TTP","Poullan-sur-Mer","204","2",149472.0366,6799634.4576,NA,NA,NA,22.4338743086423,100
"29000242_T2041","29000242","29000242","OUV","LESAFF FOR","204","2",150291,6799881,"T2041","T2041","TTP","Poullan-sur-Mer","204","2",149472.0366,6799634.4576,NA,NA,NA,22.3351785849098,100
"29000247_T6051","29000247","29000247","OUV","KERNEVES CAP","605","6",163063,6792494,"T6051","T6051","TTP","Ploneis","605","6",163066.1742,6792459.4062,NA,NA,NA,22.7059593922276,100
"29000249_T2031","29000249","29000249","OUV","KERSTRAT","203","2",155999,6795149,"T2031","T2031","TTP","Le Juch-Pouldergat","203","2",155399.0814,6795555.0474,NA,NA,NA,20.2275704368725,100
"29000250_T3011","29000250","29000250","OUV","SAINT AVE","301","3",157755,6791093,"T3011","T3011","TTP","Saint-avé","301","3",157621.062,6790916.4234,NA,NA,NA,26.1528998948331,100
"29000251_T5171","29000251","29000251","OUV","PEN A VERN.","517","5",186972.722,6820981.206,"T5171","T5171","TTP",NA,"517","5",186962.722,6820971.206,NA,NA,NA,19.4863032139765,100
"29000252_T5121","29000252","29000252","OUV","MADELEINE","512","5",186356,6820774,"T5121","T5121","TTP","Cast","512","5",185727.1752,6820066.9512,NA,NA,NA,18.8357383581593,100
"29000254_T6061","29000254","29000254","OUV","BOISSAVARN NOUVEAU","606","6",167672,6785392,"T6061","T6061","TTP","Plomelin","606","6",167741.7492,6785579.6328,NA,NA,NA,26.0563067032549,100
"29000255_T6061","29000255","29000255","OUV","REUNIAT-CAP","606","6",167495,6785973,"T6061","T6061","TTP","Plomelin","606","6",167741.7492,6785579.6328,NA,NA,NA,25.4575621610321,100
"29000258_T5041","29000258","29000258","OUV","DOUR BIHAN","504","5",163505,6812912,"T5041","T5041","TTP","Plomodiern","504","5",163509.1314,6811916.375,NA,NA,NA,4.32989079774338,100
"29000267_T3031","29000267","29000267","OUV","SAINT RENAN","303","3",150930,6791072,"T3031","T3031","TTP","Saint-Ronan","303","3",150454.0279,6791565.719,NA,NA,NA,18.248850209327,250
"29000268_T6071","29000268","29000268","OUV","KERVOELIG","607","6",165629,6789166,"T6071","T6071","TTP","Pluguffan","607","6",165630.3717,6789168.1198,NA,NA,NA,28.8338898941419,100
"29000274_T1052","29000274","29000274","OUV","POULDU","106","1",175581,6818065,"T1052","T1052","TTP","Pont-de-Buis-lès-Quimerch","106","1",175623.3558,6818089.1598,NA,NA,NA,1.74316496454356,100
"29000275_T1051","29000275","29000275","OUV","GOASTALLAN","105","1",172695,6823175,"T1051","T1051","TTP","Pont-de-Buis-lès-Quimerch","105","1",172507.7088,6823262.202,NA,NA,NA,9.00411175324543,100
